module	path
NumStability.Algorithms.MatrixPowers	NumStability/Algorithms/MatrixPowers.lean
NumStability.Algorithms.MatrixPowersComplex	NumStability/Algorithms/MatrixPowersComplex.lean
NumStability.Algorithms.MatrixPowersJordan	NumStability/Algorithms/MatrixPowersJordan.lean
NumStability.Algorithms.MatrixPowersLp	NumStability/Algorithms/MatrixPowersLp.lean
NumStability.Algorithms.MatrixPowersLpJordan	NumStability/Algorithms/MatrixPowersLpJordan.lean
NumStability.Algorithms.MatrixPowersPseudospectral	NumStability/Algorithms/MatrixPowersPseudospectral.lean
NumStability.Algorithms.MatrixPowersPseudospectralCriterion	NumStability/Algorithms/MatrixPowersPseudospectralCriterion.lean
NumStability.Algorithms.MatrixPowersSpectral	NumStability/Algorithms/MatrixPowersSpectral.lean
NumStability.Analysis.BergerGeneral	NumStability/Analysis/BergerGeneral.lean
NumStability.Analysis.BergerInequality	NumStability/Analysis/BergerInequality.lean
NumStability.Analysis.BergerResolvent	NumStability/Analysis/BergerResolvent.lean
NumStability.Analysis.CStarMatrices.Basic.RealMatrixBridge	NumStability/Analysis/CStarMatrices/Basic/RealMatrixBridge.lean
NumStability.Analysis.CStarMatrixBridge	NumStability/Analysis/CStarMatrixBridge.lean
NumStability.Analysis.CStarMatrixExpectation	NumStability/Analysis/CStarMatrixExpectation.lean
NumStability.Analysis.CStarMatrixTrace	NumStability/Analysis/CStarMatrixTrace.lean
NumStability.Analysis.DunfordResidue	NumStability/Analysis/DunfordResidue.lean
NumStability.Analysis.HenriciExtremal	NumStability/Analysis/HenriciExtremal.lean
NumStability.Analysis.HenriciSharpConstant	NumStability/Analysis/HenriciSharpConstant.lean
NumStability.Analysis.HenriciSharpConstantExact	NumStability/Analysis/HenriciSharpConstantExact.lean
NumStability.Analysis.JordanNormalForm	NumStability/Analysis/JordanNormalForm.lean
NumStability.Analysis.LiebTrace	NumStability/Analysis/LiebTrace.lean
NumStability.Analysis.LinearOperators.MatrixPowers.Spijker.KreissBridge	NumStability/Analysis/LinearOperators/MatrixPowers/Spijker/KreissBridge.lean
NumStability.Analysis.MatrixPowersBaiDemmelGu	NumStability/Analysis/MatrixPowersBaiDemmelGu.lean
NumStability.Analysis.MatrixPowersBaiDemmelGuDistance	NumStability/Analysis/MatrixPowersBaiDemmelGuDistance.lean
NumStability.Analysis.MatrixPowersBinomialBound	NumStability/Analysis/MatrixPowersBinomialBound.lean
NumStability.Analysis.MatrixPowersGautschi	NumStability/Analysis/MatrixPowersGautschi.lean
NumStability.Analysis.MatrixPowersHenrici	NumStability/Analysis/MatrixPowersHenrici.lean
NumStability.Analysis.MatrixPowersHenriciNormal	NumStability/Analysis/MatrixPowersHenriciNormal.lean
NumStability.Analysis.MatrixPowersKreiss	NumStability/Analysis/MatrixPowersKreiss.lean
NumStability.Analysis.MatrixPowersKreissSpijker	NumStability/Analysis/MatrixPowersKreissSpijker.lean
NumStability.Analysis.MatrixPowersLaszlo	NumStability/Analysis/MatrixPowersLaszlo.lean
NumStability.Analysis.MatrixPowersLp185Primary	NumStability/Analysis/MatrixPowersLp185Primary.lean
NumStability.Analysis.MatrixPowersSchur	NumStability/Analysis/MatrixPowersSchur.lean
NumStability.Analysis.MatrixPowersSpijkerClosure	NumStability/Analysis/MatrixPowersSpijkerClosure.lean
NumStability.Analysis.MatrixPowersSpijkerPlanar	NumStability/Analysis/MatrixPowersSpijkerPlanar.lean
NumStability.Analysis.MatrixPowersSpijkerPlanarAnalysis	NumStability/Analysis/MatrixPowersSpijkerPlanarAnalysis.lean
NumStability.Analysis.MatrixPowersSpijkerRational	NumStability/Analysis/MatrixPowersSpijkerRational.lean
NumStability.Analysis.NilpotentJordanChain	NumStability/Analysis/NilpotentJordanChain.lean
NumStability.Analysis.NumericalRadius	NumStability/Analysis/NumericalRadius.lean
NumStability.Analysis.OperatorLog	NumStability/Analysis/OperatorLog.lean
NumStability.Analysis.PseudospectralLowerBound	NumStability/Analysis/PseudospectralLowerBound.lean
NumStability.Analysis.PseudospectralPowerBound	NumStability/Analysis/PseudospectralPowerBound.lean
NumStability.Analysis.PseudospectralResolvent	NumStability/Analysis/PseudospectralResolvent.lean
NumStability.Analysis.ResolventFunctionalCalculus	NumStability/Analysis/ResolventFunctionalCalculus.lean
NumStability.Analysis.SpijkerProjectionIntegral	NumStability/Analysis/SpijkerProjectionIntegral.lean
