module	path
NumStability.Algorithms.Ch5DerivativeError	NumStability/Algorithms/Ch5DerivativeError.lean
NumStability.Algorithms.Ch5SourceClosure	NumStability/Algorithms/Ch5SourceClosure.lean
NumStability.Algorithms.Higham5FastPolynomialEvaluation	NumStability/Algorithms/Higham5FastPolynomialEvaluation.lean
NumStability.Algorithms.Higham5PatersonStockmeyer	NumStability/Algorithms/Higham5PatersonStockmeyer.lean
NumStability.Algorithms.Higham726Rump	NumStability/Algorithms/Higham726Rump.lean
NumStability.Algorithms.HighamChapter5ComplexAlgorithm51	NumStability/Algorithms/HighamChapter5ComplexAlgorithm51.lean
NumStability.Algorithms.HighamChapter8	NumStability/Algorithms/HighamChapter8.lean
NumStability.Algorithms.HighamChapters1To9SourceClosure	NumStability/Algorithms/HighamChapters1To9SourceClosure.lean
NumStability.Algorithms.Horner	NumStability/Algorithms/Horner.lean
NumStability.Algorithms.KahanAbsolute	NumStability/Algorithms/KahanAbsolute.lean
NumStability.Algorithms.LU.Doolittle	NumStability/Algorithms/LU/Doolittle.lean
NumStability.Algorithms.LinearSystems.IterativeRefinement.Core	NumStability/Algorithms/LinearSystems/IterativeRefinement/Core.lean
NumStability.Algorithms.LinearSystems.LU.Doolittle.BackwardError	NumStability/Algorithms/LinearSystems/LU/Doolittle/BackwardError.lean
NumStability.Algorithms.LinearSystems.LU.Doolittle.Basic	NumStability/Algorithms/LinearSystems/LU/Doolittle/Basic.lean
NumStability.Algorithms.LinearSystems.LU.Doolittle.Budgets	NumStability/Algorithms/LinearSystems/LU/Doolittle/Budgets.lean
NumStability.Algorithms.LinearSystems.LU.Doolittle.Certificates	NumStability/Algorithms/LinearSystems/LU/Doolittle/Certificates.lean
NumStability.Algorithms.LinearSystems.LU.Doolittle.RoundedEntries	NumStability/Algorithms/LinearSystems/LU/Doolittle/RoundedEntries.lean
NumStability.Algorithms.Summation.Tree.ArbitraryOrderError.PivotNormalized	NumStability/Algorithms/Summation/Tree/ArbitraryOrderError/PivotNormalized.lean
NumStability.Algorithms.WilkinsonAttainability	NumStability/Algorithms/WilkinsonAttainability.lean
NumStability.Analysis.AccuracyTests	NumStability/Analysis/AccuracyTests.lean
NumStability.Analysis.CancellationOfRoundingErrors	NumStability/Analysis/CancellationOfRoundingErrors.lean
NumStability.Analysis.DoubleRounding	NumStability/Analysis/DoubleRounding.lean
NumStability.Analysis.FloatingPointArithmetic	NumStability/Analysis/FloatingPointArithmetic.lean
NumStability.Analysis.HighamChapter2ElementaryFunctions	NumStability/Analysis/HighamChapter2ElementaryFunctions.lean
NumStability.Analysis.HighamChapter2FmaDiscriminant	NumStability/Analysis/HighamChapter2FmaDiscriminant.lean
NumStability.Analysis.HighamChapter2Lindemann	NumStability/Analysis/HighamChapter2Lindemann.lean
NumStability.Analysis.HighamChapter7	NumStability/Analysis/HighamChapter7.lean
NumStability.Analysis.HighamChapter7Rectangular	NumStability/Analysis/HighamChapter7Rectangular.lean
NumStability.Analysis.IncreasingPrecision	NumStability/Analysis/IncreasingPrecision.lean
NumStability.Analysis.InstabilityWithoutCancellation	NumStability/Analysis/InstabilityWithoutCancellation.lean
NumStability.Analysis.Problem2_10	NumStability/Analysis/Problem2_10.lean
NumStability.Analysis.Problem2_12	NumStability/Analysis/Problem2_12.lean
NumStability.Analysis.Problem2_13	NumStability/Analysis/Problem2_13.lean
NumStability.Analysis.Problem2_14	NumStability/Analysis/Problem2_14.lean
NumStability.Analysis.Problem2_17	NumStability/Analysis/Problem2_17.lean
NumStability.Analysis.Problem2_20	NumStability/Analysis/Problem2_20.lean
NumStability.Analysis.Problem2_24	NumStability/Analysis/Problem2_24.lean
NumStability.Analysis.Problem2_27	NumStability/Analysis/Problem2_27.lean
NumStability.Analysis.Problem2_3	NumStability/Analysis/Problem2_3.lean
NumStability.Analysis.SampleVariance	NumStability/Analysis/SampleVariance.lean
NumStability.FloatingPoint.Model	NumStability/FloatingPoint/Model.lean
NumStability.Source.Higham.Chapter06.Theorem05.DistanceToSingularity.Chapter07Equation26	NumStability/Source/Higham/Chapter06/Theorem05/DistanceToSingularity/Chapter07Equation26.lean
NumStability.Source.Higham.Chapter08.Equation15.GlobalEnvelopeCounterexample.RawCube	NumStability/Source/Higham/Chapter08/Equation15/GlobalEnvelopeCounterexample/RawCube.lean
NumStability.Source.Higham.Chapter08.Section03.TriangularSystems.ArbitraryOrder	NumStability/Source/Higham/Chapter08/Section03/TriangularSystems/ArbitraryOrder.lean
NumStability.Source.Higham.Chapter12.IterativeRefinement	NumStability/Source/Higham/Chapter12/IterativeRefinement.lean
NumStability.Source.Higham.Chapter12.IterativeRefinement.Chapter12Bounds	NumStability/Source/Higham/Chapter12/IterativeRefinement/Chapter12Bounds.lean
NumStability.Source.Higham.Chapter12.IterativeRefinement.LegacyChapter11Surface	NumStability/Source/Higham/Chapter12/IterativeRefinement/LegacyChapter11Surface.lean
