status	category	path
M	modified_aggregate	NumStability/Algorithms/LinearSystems.lean
M	modified_aggregate	NumStability/Algorithms/NormEstimation.lean
M	modified_aggregate	NumStability/Algorithms/NormEstimation/OneNorm/All.lean
A	added_aggregate	NumStability/Algorithms/NormEstimation/PNorm.lean
A	added_aggregate	NumStability/Algorithms/NormEstimation/PNorm/All.lean
A	added_aggregate	NumStability/Algorithms/NormEstimation/PNorm/Boyd.lean
A	added_aggregate	NumStability/Algorithms/NormEstimation/TwoNorm.lean
A	added_aggregate	NumStability/Algorithms/NormEstimation/TwoNorm/All.lean
A	added_aggregate	NumStability/Algorithms/NormEstimation/TwoNorm/Dixon.lean
M	modified_aggregate	NumStability/Source/Higham.lean
A	added_aggregate	NumStability/Source/Higham/Chapter15.lean
M	modified_aggregate	NumStability/Source/Higham/Chapter17.lean
M	modified_aggregate	NumStabilityTest.lean
A	added_test_aggregate	NumStabilityTest/Reorganization/W07.lean
A	added_test_aggregate	NumStabilityTest/Reorganization/W10.lean
M	modified_classification	docs/architecture/layout-exceptions.json
M	modified_control	docs/architecture/phases/2026-08-repository-reorganization/README.md
M	modified_control	docs/architecture/phases/2026-08-repository-reorganization/branches/B0011.json
M	modified_control	docs/architecture/phases/2026-08-repository-reorganization/branches/B0012.json
M	modified_control	docs/architecture/phases/2026-08-repository-reorganization/branches/README.md
M	modified_control	docs/architecture/phases/2026-08-repository-reorganization/phase.json
M	modified_control	docs/architecture/phases/2026-08-repository-reorganization/projections/README.md
A	added_request_artifact	docs/architecture/phases/2026-08-repository-reorganization/requests/R0010-overlap-review.md
A	added_request_artifact	docs/architecture/phases/2026-08-repository-reorganization/requests/R0010.json
A	added_request_artifact	docs/architecture/phases/2026-08-repository-reorganization/requests/R0010.patch
A	added_request_artifact	docs/architecture/phases/2026-08-repository-reorganization/requests/R0011-overlap-review.md
A	added_request_artifact	docs/architecture/phases/2026-08-repository-reorganization/requests/R0011.json
A	added_request_artifact	docs/architecture/phases/2026-08-repository-reorganization/requests/R0011.patch
M	modified_control	docs/architecture/phases/2026-08-repository-reorganization/requests/README.md
M	modified_control	docs/architecture/phases/README.md
M	modified_classification	docs/architecture/tiers.json
