status	category	path
M	request_correction	NumStability/Algorithms.lean
M	shared_request	NumStability/Algorithms/RandNLA/ElementwiseTraceMGF.lean
M	shared_request	NumStability/Algorithms/RandNLA/RowSamplingTraceMGF.lean
M	shared_request	NumStability/Algorithms/RandNLA/UniformRowSamplingMGF.lean
M	shared_request	NumStability/Algorithms/RandomizedLinearAlgebra/Concentration/TraceMGF/LeverageScore.lean
M	shared_request	NumStability/Algorithms/RandomizedLinearAlgebra/Concentration/TraceMGF/UniformRows.lean
M	shared_request	NumStability/Algorithms/TestMatrices/Higham28Companion.lean
M	request_correction	NumStability/Analysis.lean
M	shared_request	NumStability/Analysis/CStarMatrices.lean
M	shared_request	NumStability/Analysis/CStarMatrices/Basic/All.lean
M	shared_request	NumStability/Analysis/CStarMatrices/Expectation/Finite.lean
A	shared_request	NumStability/Analysis/CStarMatrices/FiniteMatrixAlgebra.lean
M	shared_request	NumStability/Analysis/CStarMatrices/Trace/Basic.lean
M	shared_request	NumStability/Analysis/FunctionalCalculus/OperatorLog/Monotonicity.lean
M	shared_request	NumStability/Analysis/LinearOperators/MatrixPowers/ExactNormBounds/All.lean
A	shared_request	NumStability/Analysis/LinearOperators/MatrixPowers/ExactNormBounds/NormalMatrices.lean
M	shared_request	NumStability/Analysis/LinearOperators/MatrixPowers/Henrici/All.lean
A	shared_request	NumStability/Analysis/LinearOperators/MatrixPowers/Henrici/NormalCharacterization.lean
A	shared_request	NumStability/Analysis/LinearOperators/MatrixPowers/Henrici/SchurBinomialBounds.lean
M	shared_request	NumStability/Analysis/LinearOperators/MatrixPowers/Spijker/All.lean
A	shared_request	NumStability/Analysis/LinearOperators/MatrixPowers/Spijker/ArcLengthPowerBounds.lean
A	shared_request	NumStability/Analysis/LinearOperators/MatrixPowers/Spijker/FiniteDimensionalPowerBounds.lean
A	shared_request	NumStability/Analysis/LinearOperators/MatrixPowers/Spijker/PlanarArcLength.lean
A	shared_request	NumStability/Analysis/LinearOperators/MatrixPowers/Spijker/PlanarCrossingBounds.lean
M	shared_request	NumStability/Analysis/LinearOperators/MatrixPowers/Spijker/Rational.lean
A	shared_request	NumStability/Analysis/LinearOperators/MatrixPowers/Spijker/ResolventCoefficients.lean
M	shared_request	NumStability/Analysis/LinearOperators/NumericalRadius/Berger/All.lean
A	shared_request	NumStability/Analysis/LinearOperators/NumericalRadius/Berger/GeneralPowerInequality.lean
M	shared_request	NumStability/Analysis/LinearOperators/Schur/All.lean
A	shared_request	NumStability/Analysis/LinearOperators/Schur/Complex/NormalTriangular.lean
M	shared_request	NumStability/Analysis/MatrixInequalities/LiebTrace/Concavity.lean
M	shared_request	NumStability/Analysis/TestMatrices/Companion/Companion.lean
M	shared_request	NumStability/Analysis/TestMatrices/Companion/CompanionSpectral.lean
M	shared_request	NumStability/Source/DrineasMahoney/RandNLA2016/Algorithm01/ElementwiseSampling/TraceMGF.lean
M	shared_request	NumStability/Source/DrineasMahoney/RandNLA2016/Equation02/SpectralApproximation/ElementwiseSpectral.lean
M	shared_request	NumStability/Source/DrineasMahoney/RandNLA2016/Equation07/SubspaceEmbedding/LeverageTraceMGF.lean
M	shared_request	NumStability/Source/DrineasMahoney/RandNLA2016/Equation07/SubspaceEmbedding/RowNormTraceMGF.lean
M	shared_request	NumStability/Source/Higham/Chapter18/Section01/MatrixPowerBounds/NamedBounds/All.lean
M	shared_request	NumStability/Source/Higham/Chapter18/Section01/MatrixPowerBounds/NamedBounds/SpijkerKreiss.lean
A	shared_request	NumStability/Source/Higham/Chapter18/Section01/MatrixPowerBounds/NamedBounds/SpijkerKreissUnconditional.lean
M	shared_request	NumStability/Source/Higham/Chapter28/Section06/Companion/Companion.lean
M	shared_request	NumStability/Source/Higham/Chapter28/Section06/Companion/CompanionSpectral.lean
M	shared_request	NumStabilityTest.lean
M	integration_documentation	README.md
M	integration_documentation	docs/README.md
M	shared_request	docs/architecture/COMPATIBILITY.md
M	integration_documentation	docs/architecture/MIGRATION.md
M	request_correction	docs/architecture/layout-exceptions.json
M	integration_documentation	docs/architecture/phases/2026-08-repository-reorganization-completion/README.md
M	delivery_control	docs/architecture/phases/2026-08-repository-reorganization-completion/branches/B0010.json
A	integration_control_evidence	docs/architecture/phases/2026-08-repository-reorganization-completion/reviews/R07-activation-control-ci.json
A	integration_control_evidence	docs/architecture/phases/2026-08-repository-reorganization-completion/reviews/R07-integration-authorization.json
A	integration_control_evidence	docs/architecture/phases/2026-08-repository-reorganization-completion/reviews/R07-integration-control-ci.json
M	integration_documentation	docs/architecture/phases/README.md
M	shared_request	docs/architecture/tiers.json
M	validator_followup	tools/architecture/check_completion_phase.py
M	request_correction	tools/architecture/check_layout.py
