status	category	path
M	shared_request	NumStability/Algorithms.lean
M	shared_request	NumStability/Algorithms/NormEstimation/TwoNorm/Dixon/Algebra/DixonCompletion.lean
M	shared_request	NumStability/Algorithms/NormEstimation/TwoNorm/Dixon/PowerBounds/DixonCompletion.lean
M	shared_request	NumStability/Algorithms/NormEstimation/TwoNorm/Dixon/Probability/DixonCompletion.lean
M	shared_request	NumStability/Algorithms/NormEstimation/TwoNorm/Dixon/Probability/DixonProbability.lean
A	shared_request	NumStability/Algorithms/RandomizedLinearAlgebra.lean
M	shared_request	NumStability/Analysis.lean
A	shared_request	NumStability/Analysis/Polynomials.lean
M	shared_request	NumStability/Analysis/Probability/Haar.lean
A	shared_request	NumStability/Analysis/TestMatrices.lean
M	shared_request	NumStability/Source.lean
M	shared_request	NumStability/Source/Higham/Chapter15/Theorem06/Dixon/Basic.lean
M	shared_request	NumStability/Source/Higham/Chapter28.lean
M	shared_request	NumStability/Source/Higham/Chapter28/Equation02.lean
M	shared_request	NumStability/Source/Higham/Chapter28/Equation02/RatioDiscrepancy.lean
A	shared_request	NumStability/Source/Higham/Chapter28/Section01.lean
A	shared_request	NumStability/Source/Higham/Chapter28/Section02.lean
A	shared_request	NumStability/Source/Higham/Chapter28/Section03.lean
A	shared_request	NumStability/Source/Higham/Chapter28/Section04.lean
A	shared_request	NumStability/Source/Higham/Chapter28/Section05.lean
A	shared_request	NumStability/Source/Higham/Chapter28/Section06.lean
M	shared_request	NumStabilityTest.lean
M	integration_documentation	README.md
M	integration_documentation	docs/README.md
M	shared_request	docs/architecture/COMPATIBILITY.md
M	integration_documentation	docs/architecture/MIGRATION.md
M	shared_request	docs/architecture/layout-exceptions.json
M	integration_documentation	docs/architecture/phases/2026-08-repository-reorganization-completion/README.md
M	delivery_control	docs/architecture/phases/2026-08-repository-reorganization-completion/branches/B0011-post-move-import-manifest.tsv
M	delivery_control	docs/architecture/phases/2026-08-repository-reorganization-completion/branches/B0011.json
M	delivery_control	docs/architecture/phases/2026-08-repository-reorganization-completion/branches/B0012-post-move-import-manifest.tsv
M	delivery_control	docs/architecture/phases/2026-08-repository-reorganization-completion/branches/B0012.json
A	integration_control_evidence	docs/architecture/phases/2026-08-repository-reorganization-completion/reviews/C0006-R09-R10-integration-authorization.json
A	integration_control_evidence	docs/architecture/phases/2026-08-repository-reorganization-completion/reviews/C0006-R09-R10-tier-amendment.md
A	integration_control_evidence	docs/architecture/phases/2026-08-repository-reorganization-completion/reviews/R09-R10-integration-control-ci.json
M	integration_documentation	docs/architecture/phases/README.md
M	shared_request	docs/architecture/tiers.json
M	validator_followup	tools/architecture/check_completion_phase.py
