path	preimage_blob_oid	preimage_sha256	postimage_sha256
NumStability/Algorithms.lean	4f46fa15910e40d3fb41e5a7fc53479ce3b36e49	18DA616C6669DE313696969D31877086C64DCD6A251BCD778A01AAC5CB85BE67	0DEF3FD36DD507444AC0A317170966B62724BD3155B5DDBC652D33132B58CC3A
NumStability/Source/Higham/Chapter14/Algorithm04.lean	2e7a2c57b84ae62d5d6050bb5afab4c54fa2973c	A6A292A23931437D794C27CF30C514197168E0A8E9595CA8CFC5EC235EFF10C6	EF54EAE48A56346846C0551ADEAFE2C58119F56D09237FBECE4209E2F27173D2
NumStability/Source/Higham/Chapter14/Corollary06.lean	e6fa097cad2a2c2446d522f15e59d34dd846cce7	E55E33E3D4425CB66783B332770BC2630616BA2FAF438B42375BE294FF73492C	89F34B3F1F68EA10B08DBCD7AEE2A9878F711D21C85172E5938EC9559D33626B
NumStability/Source/Higham/Chapter14/Corollary07.lean	364c0472788b81690dd46f241e2bd87bea7abf6f	6C9CEE121A53CABA279CB45394890071101E0836BA3C3431577872D3B9880C5C	A6D595329075F16E3583A48A8D3EE0F952B1AE10593F72F9F2467C584876AAA2
NumStability/Source/Higham/Chapter14/Problem02.lean	0c005b1b5e5cf5a1592cc5ac95d77463c69cbe5d	4652DF34D5B72FCEE15060DE96B413F4676E809919B724AB93F454C57117544D	E1C9349137F508DD7D3638C565253E993AAEDCFD8C74B74E60BB3814444823CB
NumStability/Source/Higham/Chapter14/Problem12.lean	926488fbd0fdfa29c98f47c5fbde945099f1141f	F353DE7630949A8DCF2F32078BF0BB84E427028DFFF8927FBC63B6C26697DB2B	EB6E3D4DE21BBB8CCFBECBD0AD1D6480244EB2CBEE910012194EDB89AF3D774B
NumStability/Source/Higham/Chapter14/Section01.lean	1041fd6e1ac78eae3d8f452979467df6a1a46d76	9576F7D50763239C8EBB384BBC5391476728075C1EE68D8F8B758DFA7BB0FDF0	F719A44E16D858A20F65B8926BE6A07EA742F98505C4C4A5EADE0C92B7305FF9
NumStability/Source/Higham/Chapter14/Section02.lean	2e07ac96edf64525a3debeb52b036c77263c9bc5	117A9D080C5DAA16198FF376DB92114F08958C606787BDE16BDD78ECC43207D0	EC898FD9518AF704D3C1ACD0F3949B5FEEB76B733867379C28F6FBBC8906BF58
NumStability/Source/Higham/Chapter14/Theorem05.lean	6ae0c02e6bb1f3049b02a4fd895e3c4d4ab79b8e	5825D77CFDD7937DBECC92684C2CFEB1D3AD898B939564DB15FA0369C257DB76	A17EB53E8B43F1A0952A8A23E5F8562C1502B6F19CC136F3C4AF3008A30C9F83
NumStabilityTest.lean	18a16f88d946795c9c5a7cb46d63c4640b7de998	C5200B8A37338AC050E61787EEF9E4E50DA3027C1F457EF38D7A2F4EF4D15283	115414318C3D161BB321798BAD825CC6BB80D3F57D6B71589037F94F635630C7
docs/architecture/COMPATIBILITY.md	2ec5261a3d7fe75af25e793c7d3aed9f9425c79c	250D0849281E9611E0599D6A749AFC00B377089278D4205C3B90449BD36E8B8C	84784F7CA3EFBE4115964AA453B582557BDEE2D9BF4531C3C6AEEB3FE4AABAE0
docs/architecture/MIGRATION.md	80cbd5c4e635208cc7a7d058ae959d8745da8cf5	1D9902DBC9C8AFB867DBDAD085F750E02E221A44CF5D8EBE090DF5FEEC780ABC	FEA9781677F28093430E34D6B45FB38EAA3A53552B457F620EB3B7FC11E62D21
docs/architecture/layout-exceptions.json	f2adbdc1cea2579aacac1d8e5f84be394b40e3a9	C6FE5BB2792D9CF841E4BB3BD795D5BB7E5834138475762EF07E70E57BE50977	1BD14F284CEFB7DD6EFC6D6CEABF2AEFF21726EC63EF28B8127674B295191589
docs/architecture/tiers.json	a15c10e642e7b045d72b35eae42f48831ae21b88	B6CC7F8E85645D178CE459663B729D9741B824DE41B40EB0E2CFCF371AF24A48	3D478E2ADB339BAC55C0CF7990B87DD0325EBA10142B4277F60FA7430EDA214D
